관측분야 : 지상기상관측
조회기간 : 임의기간& #40;시별& #41;: 2017-10-01 00시 ~ 2017-10-31 23시
관측지점 : 서울& #40;108& #41;
출력기후요소 : 기온,강수량

지점번호,지점,일시,기온 (℃),시간강수량 (mm),
108,서울,2017-10-08 13,27.6,,
108,서울,2017-10-08 14,28.3,,
108,서울,2017-10-08 15,28.3,,
108,서울,2017-10-08 16,26.5,,
108,서울,2017-10-08 17,26.0,,
108,서울,2017-10-08 18,23.9,,
108,서울,2017-10-08 19,22.6,,
108,서울,2017-10-08 20,22.2,,
108,서울,2017-10-08 21,21.8,,
108,서울,2017-10-08 22,21.1,,
108,서울,2017-10-08 23,20.8,,
108,서울,2017-10-09 00,20.8,,
108,서울,2017-10-09 01,20.6,,
108,서울,2017-10-09 02,20.3,,
108,서울,2017-10-09 03,20.4,,
108,서울,2017-10-09 04,20.3,,
108,서울,2017-10-09 05,20.3,,
108,서울,2017-10-09 06,20.3,,
108,서울,2017-10-09 07,20.0,,
108,서울,2017-10-09 08,20.5,,
108,서울,2017-10-09 09,21.9,,
108,서울,2017-10-09 10,23.7,,
108,서울,2017-10-09 11,25.0,,
108,서울,2017-10-09 12,25.4,,
108,서울,2017-10-09 13,26.0,,
108,서울,2017-10-09 14,26.0,0.0,
108,서울,2017-10-09 15,26.7,,
108,서울,2017-10-09 16,26.7,,
108,서울,2017-10-09 17,26.6,,
108,서울,2017-10-09 18,24.5,,
108,서울,2017-10-09 19,22.5,,
108,서울,2017-10-09 20,21.6,,
108,서울,2017-10-09 21,21.0,,
108,서울,2017-10-09 22,20.5,,
108,서울,2017-10-09 23,20.3,,
108,서울,2017-10-10 00,19.8,,
108,서울,2017-10-10 01,19.5,,
108,서울,2017-10-10 02,19.3,,
108,서울,2017-10-10 03,19.1,,
108,서울,2017-10-10 04,18.7,,
108,서울,2017-10-10 05,18.6,,
108,서울,2017-10-10 06,18.8,,
108,서울,2017-10-10 07,18.7,,
108,서울,2017-10-10 08,19.4,,
108,서울,2017-10-10 09,20.7,,
108,서울,2017-10-10 10,22.4,,
108,서울,2017-10-10 11,22.9,,
108,서울,2017-10-10 12,22.8,0.0,
108,서울,2017-10-10 13,23.8,,
108,서울,2017-10-10 14,24.6,,
108,서울,2017-10-10 15,24.1,,
108,서울,2017-10-10 16,23.8,,
108,서울,2017-10-10 17,22.4,0.1,
108,서울,2017-10-10 18,22.0,0.0,
108,서울,2017-10-10 19,21.7,,
108,서울,2017-10-10 20,21.7,,
108,서울,2017-10-10 21,21.8,,
108,서울,2017-10-10 22,22.3,0.0,
108,서울,2017-10-10 23,22.1,0.0,
108,서울,2017-10-11 00,21.7,0.3,
108,서울,2017-10-11 01,21.5,0.5,
108,서울,2017-10-11 02,20.3,6.0,
108,서울,2017-10-11 03,19.2,1.0,
108,서울,2017-10-11 04,17.2,1.0,
108,서울,2017-10-11 05,16.6,3.5,
108,서울,2017-10-11 06,16.1,3.0,
108,서울,2017-10-11 07,15.6,1.0,
108,서울,2017-10-11 08,15.4,2.0,
108,서울,2017-10-11 09,15.4,1.5,
108,서울,2017-10-11 10,15.1,0.5,
108,서울,2017-10-11 11,15.5,0.0,
108,서울,2017-10-11 12,16.2,,
108,서울,2017-10-11 13,16.4,,
108,서울,2017-10-11 14,16.9,,
108,서울,2017-10-11 15,16.8,,
108,서울,2017-10-11 16,16.9,,
108,서울,2017-10-11 17,16.6,,
108,서울,2017-10-11 18,15.1,,
108,서울,2017-10-11 19,14.2,,
108,서울,2017-10-11 20,13.6,,
108,서울,2017-10-11 21,13.2,,
108,서울,2017-10-11 22,12.8,,
108,서울,2017-10-11 23,12.5,,
108,서울,2017-10-12 00,12.2,,
108,서울,2017-10-12 01,12.0,,
108,서울,2017-10-12 02,11.8,,
108,서울,2017-10-12 03,11.6,,
108,서울,2017-10-12 04,11.3,,
108,서울,2017-10-12 05,11.1,,
108,서울,2017-10-12 06,10.7,,
108,서울,2017-10-12 07,10.7,,
108,서울,2017-10-12 08,11.0,,
108,서울,2017-10-12 09,11.8,,
108,서울,2017-10-12 10,12.2,,
108,서울,2017-10-12 11,12.6,,
108,서울,2017-10-12 12,13.1,,
108,서울,2017-10-12 13,13.5,,
108,서울,2017-10-12 14,13.7,,
108,서울,2017-10-12 15,,,
108,서울,2017-10-12 16,,,
108,서울,2017-10-12 17,,,
108,서울,2017-10-12 18,12.8,,
108,서울,2017-10-12 19,11.5,,
108,서울,2017-10-12 20,10.6,,
108,서울,2017-10-12 21,10.2,,
108,서울,2017-10-12 22,9.7,,
108,서울,2017-10-12 23,9.3,,
108,서울,2017-10-13 00,8.8,,
108,서울,2017-10-13 01,8.1,,
108,서울,2017-10-13 02,7.5,,
108,서울,2017-10-13 03,7.1,,
108,서울,2017-10-13 04,7.0,,
108,서울,2017-10-13 05,6.8,,
108,서울,2017-10-13 06,6.2,,
108,서울,2017-10-13 07,6.2,,
108,서울,2017-10-13 08,7.2,,
108,서울,2017-10-13 09,10.7,,
108,서울,2017-10-13 10,13.3,,
108,서울,2017-10-13 11,15.3,,
108,서울,2017-10-13 12,16.8,,
108,서울,2017-10-13 13,16.5,,
108,서울,2017-10-13 14,18.0,,
108,서울,2017-10-13 15,18.4,,
108,서울,2017-10-13 16,18.7,,
108,서울,2017-10-13 17,17.4,,
108,서울,2017-10-13 18,16.0,,
108,서울,2017-10-13 19,15.0,,
108,서울,2017-10-13 20,14.5,,
108,서울,2017-10-13 21,14.0,,
108,서울,2017-10-13 22,14.1,,
108,서울,2017-10-13 23,13.8,,
108,서울,2017-10-14 00,13.4,,
108,서울,2017-10-14 01,12.2,,
108,서울,2017-10-14 02,11.1,,
108,서울,2017-10-14 03,10.2,,
108,서울,2017-10-14 04,9.9,,
108,서울,2017-10-14 05,9.4,,
108,서울,2017-10-14 06,9.2,,
108,서울,2017-10-14 07,9.0,,
108,서울,2017-10-14 08,9.9,,
108,서울,2017-10-14 09,12.2,,
108,서울,2017-10-14 10,15.3,,
108,서울,2017-10-14 11,18.1,,
108,서울,2017-10-14 12,18.9,,
108,서울,2017-10-14 13,19.6,,
108,서울,2017-10-14 14,19.7,,
108,서울,2017-10-14 15,20.0,,
108,서울,2017-10-14 16,19.3,,
108,서울,2017-10-14 17,18.1,,
108,서울,2017-10-14 18,16.6,,
108,서울,2017-10-14 19,15.8,,
108,서울,2017-10-14 20,15.3,,
108,서울,2017-10-14 21,14.7,,
108,서울,2017-10-14 22,14.1,,
108,서울,2017-10-14 23,14.0,,
108,서울,2017-10-15 00,13.6,,
108,서울,2017-10-15 01,12.9,,
108,서울,2017-10-15 02,11.9,,
108,서울,2017-10-15 03,11.2,,
108,서울,2017-10-15 04,10.3,,
108,서울,2017-10-15 05,9.7,,
108,서울,2017-10-15 06,9.3,,
108,서울,2017-10-15 07,9.0,,
108,서울,2017-10-15 08,10.4,,
108,서울,2017-10-15 09,13.4,,
108,서울,2017-10-15 10,15.6,,
108,서울,2017-10-15 11,18.0,,
108,서울,2017-10-15 12,19.9,,
108,서울,2017-10-15 13,21.8,,
108,서울,2017-10-15 14,22.0,,
108,서울,2017-10-15 15,23.0,,
108,서울,2017-10-15 16,21.4,,
108,서울,2017-10-15 17,20.4,,
108,서울,2017-10-15 18,18.9,,
108,서울,2017-10-15 19,17.4,,
108,서울,2017-10-15 20,16.5,,
108,서울,2017-10-15 21,16.0,,
108,서울,2017-10-15 22,15.7,,
108,서울,2017-10-15 23,15.1,,
108,서울,2017-10-16 00,15.0,,
108,서울,2017-10-16 01,14.9,,
108,서울,2017-10-16 02,14.8,,
108,서울,2017-10-16 03,14.7,,
108,서울,2017-10-16 04,14.5,,
108,서울,2017-10-16 05,14.3,,
108,서울,2017-10-16 06,14.1,,
108,서울,2017-10-16 07,14.0,,
108,서울,2017-10-16 08,14.2,,
108,서울,2017-10-16 09,15.2,,
108,서울,2017-10-16 10,16.7,,
108,서울,2017-10-16 11,18.4,,
108,서울,2017-10-16 12,19.1,,
108,서울,2017-10-16 13,20.0,,
108,서울,2017-10-16 14,21.1,,
108,서울,2017-10-16 15,21.8,,
108,서울,2017-10-16 16,21.5,,
108,서울,2017-10-16 17,19.9,,
108,서울,2017-10-16 18,18.6,,
108,서울,2017-10-16 19,17.5,,
108,서울,2017-10-16 20,16.7,,
108,서울,2017-10-16 21,15.7,,
108,서울,2017-10-16 22,15.0,,
108,서울,2017-10-16 23,14.1,,
108,서울,2017-10-17 00,13.6,,
108,서울,2017-10-17 01,13.2,,
108,서울,2017-10-17 02,12.6,,
108,서울,2017-10-17 03,11.4,,
108,서울,2017-10-17 04,10.6,,
108,서울,2017-10-17 05,10.1,,
108,서울,2017-10-17 06,9.5,,
108,서울,2017-10-17 07,9.2,,
108,서울,2017-10-17 08,10.2,,
108,서울,2017-10-17 09,14.4,,
108,서울,2017-10-17 10,16.9,,
108,서울,2017-10-17 11,19.4,,
108,서울,2017-10-17 12,20.6,,
108,서울,2017-10-17 13,23.3,,
108,서울,2017-10-17 14,22.9,,
108,서울,2017-10-17 15,23.8,,
108,서울,2017-10-17 16,23.4,,
108,서울,2017-10-17 17,22.5,,
108,서울,2017-10-17 18,19.8,,
108,서울,2017-10-17 19,18.2,,
108,서울,2017-10-17 20,17.0,,
108,서울,2017-10-17 21,15.9,,
108,서울,2017-10-17 22,15.4,,
108,서울,2017-10-17 23,14.5,,
108,서울,2017-10-18 00,14.2,,
108,서울,2017-10-18 01,14.3,,
108,서울,2017-10-18 02,15.2,,
108,서울,2017-10-18 03,15.4,,
108,서울,2017-10-18 04,15.5,,
108,서울,2017-10-18 05,15.4,,
108,서울,2017-10-18 06,15.3,,
108,서울,2017-10-18 07,15.1,,
108,서울,2017-10-18 08,15.2,,
108,서울,2017-10-18 09,15.9,,
108,서울,2017-10-18 10,16.8,,
108,서울,2017-10-18 11,17.6,,
108,서울,2017-10-18 12,18.9,,
108,서울,2017-10-18 13,18.5,,
108,서울,2017-10-18 14,18.5,0.0,
108,서울,2017-10-18 15,18.4,0.0,
108,서울,2017-10-18 16,17.9,0.1,
108,서울,2017-10-18 17,17.3,0.0,
108,서울,2017-10-18 18,16.9,0.0,
108,서울,2017-10-18 19,16.7,0.0,
108,서울,2017-10-18 20,16.5,0.0,
108,서울,2017-10-18 21,16.1,,
108,서울,2017-10-18 22,15.9,0.0,
108,서울,2017-10-18 23,15.3,0.0,
108,서울,2017-10-19 00,15.0,0.0,
108,서울,2017-10-19 01,14.8,,
108,서울,2017-10-19 02,14.5,,
108,서울,2017-10-19 03,13.8,,
108,서울,2017-10-19 04,13.4,,
108,서울,2017-10-19 05,12.8,,
108,서울,2017-10-19 06,12.3,,
108,서울,2017-10-19 07,12.0,,
108,서울,2017-10-19 08,12.7,,
108,서울,2017-10-19 09,15.8,,
108,서울,2017-10-19 10,18.0,,
108,서울,2017-10-19 11,19.5,,
108,서울,2017-10-19 12,21.0,,
108,서울,2017-10-19 13,22.1,,
108,서울,2017-10-19 14,22.2,,
108,서울,2017-10-19 15,22.2,,
108,서울,2017-10-19 16,21.7,,
108,서울,2017-10-19 17,21.3,,
108,서울,2017-10-19 18,19.5,,
108,서울,2017-10-19 19,18.0,,
108,서울,2017-10-19 20,17.3,,
108,서울,2017-10-19 21,16.7,,
108,서울,2017-10-19 22,16.0,,
108,서울,2017-10-19 23,15.3,,
108,서울,2017-10-20 00,14.6,,
108,서울,2017-10-20 01,13.8,,
108,서울,2017-10-20 02,13.2,,
108,서울,2017-10-20 03,12.7,,
108,서울,2017-10-20 04,12.5,,
108,서울,2017-10-20 05,11.9,,
108,서울,2017-10-20 06,11.4,,
108,서울,2017-10-20 07,11.1,,
108,서울,2017-10-20 08,11.7,,
108,서울,2017-10-20 09,15.2,,
108,서울,2017-10-20 10,17.8,,
108,서울,2017-10-20 11,20.6,,
108,서울,2017-10-20 12,21.5,,
108,서울,2017-10-20 13,23.1,,
108,서울,2017-10-20 14,23.8,,
108,서울,2017-10-20 15,24.0,,
108,서울,2017-10-20 16,23.4,,
108,서울,2017-10-20 17,22.0,,
108,서울,2017-10-20 18,19.7,,
108,서울,2017-10-20 19,18.2,,
108,서울,2017-10-20 20,17.4,,
108,서울,2017-10-20 21,16.5,,
108,서울,2017-10-20 22,16.0,,
108,서울,2017-10-20 23,15.3,,
108,서울,2017-10-21 00,14.8,,
108,서울,2017-10-21 01,14.2,,
108,서울,2017-10-21 02,13.4,,
108,서울,2017-10-21 03,12.8,,
108,서울,2017-10-21 04,12.2,,
108,서울,2017-10-21 05,11.9,,
108,서울,2017-10-21 06,11.5,,
108,서울,2017-10-21 07,11.2,,
108,서울,2017-10-21 08,11.7,,
108,서울,2017-10-21 09,14.5,,
108,서울,2017-10-21 10,18.0,,
108,서울,2017-10-21 11,20.5,,
108,서울,2017-10-21 12,22.6,,
108,서울,2017-10-21 13,23.6,,
108,서울,2017-10-21 14,24.6,,
108,서울,2017-10-21 15,24.9,,
108,서울,2017-10-21 16,24.4,,
108,서울,2017-10-21 17,23.6,,
108,서울,2017-10-21 18,21.3,,
108,서울,2017-10-21 19,19.9,,
108,서울,2017-10-21 20,18.5,,
108,서울,2017-10-21 21,17.6,,
108,서울,2017-10-21 22,16.7,,
108,서울,2017-10-21 23,15.8,,
108,서울,2017-10-22 00,15.3,,
108,서울,2017-10-22 01,14.5,,
108,서울,2017-10-22 02,13.8,,
108,서울,2017-10-22 03,12.9,,
108,서울,2017-10-22 04,12.2,,
108,서울,2017-10-22 05,11.9,,
108,서울,2017-10-22 06,11.3,,
108,서울,2017-10-22 07,11.1,,
108,서울,2017-10-22 08,13.0,,
108,서울,2017-10-22 09,16.8,,
108,서울,2017-10-22 10,19.4,,
108,서울,2017-10-22 11,21.6,,
108,서울,2017-10-22 12,23.1,,
108,서울,2017-10-22 13,21.8,,
108,서울,2017-10-22 14,21.3,,
108,서울,2017-10-22 15,21.2,,
108,서울,2017-10-22 16,20.5,,
108,서울,2017-10-22 17,19.4,,
108,서울,2017-10-22 18,17.4,,
108,서울,2017-10-22 19,16.4,,
108,서울,2017-10-22 20,15.3,,
108,서울,2017-10-22 21,14.6,,
108,서울,2017-10-22 22,13.9,,
108,서울,2017-10-22 23,13.3,,
108,서울,2017-10-23 00,12.9,,
108,서울,2017-10-23 01,11.6,,
108,서울,2017-10-23 02,10.8,,
108,서울,2017-10-23 03,10.1,,
108,서울,2017-10-23 04,9.7,,
108,서울,2017-10-23 05,9.1,,
108,서울,2017-10-23 06,8.9,,
108,서울,2017-10-23 07,8.8,,
108,서울,2017-10-23 08,9.3,,
108,서울,2017-10-23 09,12.1,,
108,서울,2017-10-23 10,14.8,,
108,서울,2017-10-23 11,16.6,,
108,서울,2017-10-23 12,17.7,,
108,서울,2017-10-23 13,18.6,,
108,서울,2017-10-23 14,19.6,,
108,서울,2017-10-23 15,19.4,,
108,서울,2017-10-23 16,20.1,,
108,서울,2017-10-23 17,18.6,,
108,서울,2017-10-23 18,16.5,,
108,서울,2017-10-23 19,15.0,,
108,서울,2017-10-23 20,13.8,,
108,서울,2017-10-23 21,13.2,,
108,서울,2017-10-23 22,12.5,,
108,서울,2017-10-23 23,12.2,,
108,서울,2017-10-24 00,11.5,,
108,서울,2017-10-24 01,10.8,,
108,서울,2017-10-24 02,10.3,,
108,서울,2017-10-24 03,10.2,,
108,서울,2017-10-24 04,10.0,,
108,서울,2017-10-24 05,10.1,,
108,서울,2017-10-24 06,10.1,,
108,서울,2017-10-24 07,10.2,,
108,서울,2017-10-24 08,10.6,,
108,서울,2017-10-24 09,12.7,,
108,서울,2017-10-24 10,14.3,,
108,서울,2017-10-24 11,17.2,,
108,서울,2017-10-24 12,18.6,,
108,서울,2017-10-24 13,20.3,,
108,서울,2017-10-24 14,19.4,,
108,서울,2017-10-24 15,19.7,,
108,서울,2017-10-24 16,20.0,,
108,서울,2017-10-24 17,18.6,,
108,서울,2017-10-24 18,16.7,,
108,서울,2017-10-24 19,15.7,,
108,서울,2017-10-24 20,14.9,,
108,서울,2017-10-24 21,14.3,,
108,서울,2017-10-24 22,13.8,,
108,서울,2017-10-24 23,13.3,,
108,서울,2017-10-25 00,13.0,,
108,서울,2017-10-25 01,12.2,,
108,서울,2017-10-25 02,11.8,,
108,서울,2017-10-25 03,11.1,,
108,서울,2017-10-25 04,10.7,,
108,서울,2017-10-25 05,10.3,,
108,서울,2017-10-25 06,10.0,,
108,서울,2017-10-25 07,9.5,,
108,서울,2017-10-25 08,10.0,,
108,서울,2017-10-25 09,12.4,,
108,서울,2017-10-25 10,15.9,,
108,서울,2017-10-25 11,17.3,,
108,서울,2017-10-25 12,18.0,,
108,서울,2017-10-25 13,19.1,,
108,서울,2017-10-25 14,19.7,,
108,서울,2017-10-25 15,20.2,,
108,서울,2017-10-25 16,19.9,,
108,서울,2017-10-25 17,18.5,,
108,서울,2017-10-25 18,16.6,,
108,서울,2017-10-25 19,15.3,,
108,서울,2017-10-25 20,14.8,,
108,서울,2017-10-25 21,14.1,,
108,서울,2017-10-25 22,13.6,,
108,서울,2017-10-25 23,13.1,,
108,서울,2017-10-26 00,12.9,,
108,서울,2017-10-26 01,12.6,,
108,서울,2017-10-26 02,12.0,,
108,서울,2017-10-26 03,11.5,,
108,서울,2017-10-26 04,11.2,,
108,서울,2017-10-26 05,10.7,,
108,서울,2017-10-26 06,10.8,,
108,서울,2017-10-26 07,10.8,,
108,서울,2017-10-26 08,11.1,,
108,서울,2017-10-26 09,12.5,,
108,서울,2017-10-26 10,13.6,,
108,서울,2017-10-26 11,15.4,,
108,서울,2017-10-26 12,17.4,,
108,서울,2017-10-26 13,17.5,,
108,서울,2017-10-26 14,18.0,,
108,서울,2017-10-26 15,17.9,,
108,서울,2017-10-26 16,17.8,,
108,서울,2017-10-26 17,17.0,,
108,서울,2017-10-26 18,16.2,,
108,서울,2017-10-26 19,15.7,,
108,서울,2017-10-26 20,15.3,,
108,서울,2017-10-26 21,15.1,,
108,서울,2017-10-26 22,14.7,,
108,서울,2017-10-26 23,14.5,,
108,서울,2017-10-27 00,14.3,,
108,서울,2017-10-27 01,14.1,,
108,서울,2017-10-27 02,13.9,,
108,서울,2017-10-27 03,13.6,,
108,서울,2017-10-27 04,13.5,,
108,서울,2017-10-27 05,13.3,,
108,서울,2017-10-27 06,12.9,,
108,서울,2017-10-27 07,12.2,,
108,서울,2017-10-27 08,12.1,,
108,서울,2017-10-27 09,14.5,,
108,서울,2017-10-27 10,17.6,,
108,서울,2017-10-27 11,19.4,,
108,서울,2017-10-27 12,20.9,,
108,서울,2017-10-27 13,23.2,,
108,서울,2017-10-27 14,23.2,,
108,서울,2017-10-27 15,24.2,,
108,서울,2017-10-27 16,23.6,,
108,서울,2017-10-27 17,21.9,,
108,서울,2017-10-27 18,19.3,,
108,서울,2017-10-27 19,18.3,,
108,서울,2017-10-27 20,17.4,,
108,서울,2017-10-27 21,16.2,,
108,서울,2017-10-27 22,15.2,,
108,서울,2017-10-27 23,14.5,,
108,서울,2017-10-28 00,13.6,,
108,서울,2017-10-28 01,13.1,,
108,서울,2017-10-28 02,12.4,,
108,서울,2017-10-28 03,12.1,,
108,서울,2017-10-28 04,11.6,,
108,서울,2017-10-28 05,11.2,,
108,서울,2017-10-28 06,10.9,,
108,서울,2017-10-28 07,10.6,,
108,서울,2017-10-28 08,11.6,,
108,서울,2017-10-28 09,15.0,,
108,서울,2017-10-28 10,18.1,,
108,서울,2017-10-28 11,20.2,,
108,서울,2017-10-28 12,22.1,,
108,서울,2017-10-28 13,22.8,,
108,서울,2017-10-28 14,24.7,,
108,서울,2017-10-28 15,24.3,,
108,서울,2017-10-28 16,24.1,,
108,서울,2017-10-28 17,22.4,,
108,서울,2017-10-28 18,20.2,,
108,서울,2017-10-28 19,19.1,,
108,서울,2017-10-28 20,18.6,,
108,서울,2017-10-28 21,18.1,,
108,서울,2017-10-28 22,16.8,,
108,서울,2017-10-28 23,15.7,,
108,서울,2017-10-29 00,14.9,,
108,서울,2017-10-29 01,14.1,,
108,서울,2017-10-29 02,13.3,,
108,서울,2017-10-29 03,12.8,,
108,서울,2017-10-29 04,12.3,,
108,서울,2017-10-29 05,12.0,,
108,서울,2017-10-29 06,11.5,,
